id,fuente,categoria,semana,dia,canal,titulo,descripcion,prioridad,deadline,estado,autor,tipo_media,preview_url,thumbnail_url,comentarios_staff,fecha_actualizacion
S1-010,Plan MKT Externo,Semana Organizaciones,Sem 1,Jueves,Discord,Anuncio AMA en vivo,Anuncio AMA con líder IC de la org destacada — 1 hora canal de voz preguntas en #ama-preguntas.,Alta,Jueves Sem 1,Pendiente,Eleevate,copy,,,,
S1-011,Plan MKT Externo,Semana Organizaciones,Sem 1,Jueves,Twitter,Tweet recordatorio AMA,Tweet día del AMA con hora y link al Discord oficial.,Media,Jueves Sem 1,Pendiente,Eleevate,copy,,,,
S1-012,Plan MKT Externo,Semana Organizaciones,Sem 1,Viernes,Multi,Trailer criminal 60-90s,Trailer cinematográfico para TikTok/Twitter/YouTube Shorts con CTA código MAFIA boost x2 XP.,Crítica,Viernes Sem 1,Pendiente,Eleevate,video,,,,
S1-013,Plan MKT Externo,Semana Organizaciones,Sem 1,Viernes,Email,Email reactivación inactivos 30d+,Email a inactivos con asunto Tu personaje sigue ahí y código MAFIA con boost x2.,Alta,Viernes Sem 1,Pendiente,Eleevate,copy,,,,
S2-001,Plan MKT Externo,Facciones Legales,Sem 2,Lunes,Discord,Día del LSPD — Post fijado,Post con stats del mes operativos arrestos reclutas horas de patrulla y CTA aplicaciones.,Alta,Lunes Sem 2,Pendiente,Eleevate,copy,,,,
S2-002,Plan MKT Externo,Facciones Legales,Sem 2,Lunes,Twitter,Tweet Día del LSPD,Tweet contrastando rol criminal vs uniforme LSPD — puedes ser tú la próxima semana.,Media,Lunes Sem 2,Pendiente,Eleevate,copy,,,,
S2-003,Plan MKT Externo,Facciones Legales,Sem 2,Lunes,TikTok,POV Ride-along LSPD 45s,Video POV de operativo del LSPD desde briefing hasta arresto — código BADGE.,Alta,Lunes Sem 2,Pendiente,Eleevate,video,,,,
S2-004,Plan MKT Externo,Facciones Legales,Sem 2,Lunes,Email,Email segmento sin facción — LSPD,Email a jugadores civiles sin facción — reclutamiento LSPD abierto.,Media,Lunes Sem 2,Pendiente,Eleevate,copy,,,,
S2-005,Plan MKT Externo,Facciones Legales,Sem 2,Martes,Discord,Día del LSES Medicina y Bomberos,Post con certificaciones médicas gratis tour estaciones LSFD y Q&A con Director.,Alta,Martes Sem 2,Pendiente,Eleevate,copy,,,,
S2-006,Plan MKT Externo,Facciones Legales,Sem 2,Martes,Twitter,Tweet LSES No todos llevan placa,Tweet emotivo sobre los que llevan camilla — Día del LSES.,Media,Martes Sem 2,Pendiente,Eleevate,copy,,,,
S2-007,Plan MKT Externo,Facciones Legales,Sem 2,Miércoles,Discord,Día del LSAF Fuerzas Armadas,Post fase 1 abierta ejército marina fuerza aérea fechas BMT y narrativa Cayo Perico.,Alta,Miércoles Sem 2,Pendiente,Eleevate,copy,,,,
S2-008,Plan MKT Externo,Facciones Legales,Sem 2,Miércoles,Twitter,Tweet LSAF Servicio empieza,Tweet sobre disciplina servicio y rango futuro — postulación abierta.,Media,Miércoles Sem 2,Pendiente,Eleevate,copy,,,,
S2-009,Plan MKT Externo,Facciones Legales,Sem 2,Miércoles,TikTok,Montaje militar LSAF,Montaje con operativos en Cayo Perico formaciones BMT — código LSAF.,Alta,Miércoles Sem 2,Pendiente,Eleevate,video,,,,
S2-010,Plan MKT Externo,Facciones Legales,Sem 2,Jueves,Discord,Día del FIB / USMS,Post sobre jurisdicción federal con desclasificación parcial del caso del mes.,Alta,Jueves Sem 2,Pendiente,Eleevate,copy,,,,
S2-011,Plan MKT Externo,Facciones Legales,Sem 2,Jueves,Twitter,Tweet FIB Algunas investigaciones,Tweet narrativo sobre investigaciones que tardan años — FIB USMS GTAHUB.,Media,Jueves Sem 2,Pendiente,Eleevate,copy,,,,
S2-012,Plan MKT Externo,Facciones Legales,Sem 2,Viernes,Discord,Audiencia Pública Gobernador,Anuncio audiencia pública abierta a propuestas ciudadanas streameada por streamer oficial.,Alta,Viernes Sem 2,Pendiente,Eleevate,copy,,,,
S2-013,Plan MKT Externo,Facciones Legales,Sem 2,Viernes,Twitter,Tweet Audiencia Pública,Tweet con hora y link al stream del Gobernador — qué le vas a decir tú.,Media,Viernes Sem 2,Pendiente,Eleevate,copy,,,,
S2-014,Plan MKT Externo,Facciones Legales,Sem 2,Sáb-Dom,Discord,Open Day Facciones Legales,Post fin de semana con ride-along LSPD tour LSAF certificación LSES tribunal demostración K9 prensa.,Crítica,Sábado Sem 2,Pendiente,Eleevate,evento,,,,
S2-015,Plan MKT Externo,Facciones Legales,Sem 2,Sáb-Dom,Email,Email Open Day segmento general,Email invitando a vivir Los Santos desde el otro lado durante el fin de semana.,Alta,Sábado Sem 2,Pendiente,Eleevate,copy,,,,
S3-001,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Lunes,Discord,Teaser lunes Se viene algo,Post Discord teaser sin revelar la oferta — email del jueves.,Media,Lunes Sem 3,Pendiente,Eleevate,copy,,,,
S3-002,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Lunes,Twitter,Tweet calendario de la semana,Tweet calendario con Lun-Mar-Mié nada Jue algo Vie más Sáb lo grande Dom última.,Media,Lunes Sem 3,Pendiente,Eleevate,copy,,,,
S3-003,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Miércoles,Email,Email VIP Acceso anticipado,Email a segmento VIP con bundle exclusivo y código privado VIP_CODE.,Crítica,Miércoles Sem 3,Pendiente,Eleevate,copy,,,,
S3-004,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Jueves,Discord,Apertura HUBs 20% OFF,Post anunciando arranque del fin de semana con código HUBSMES y bundles exclusivos.,Crítica,Jueves Sem 3,Pendiente,Eleevate,copy,,,,
S3-005,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Jueves,Email,Email apertura segmento activos,Email 4 días 20% empezó — código HUBSMES y aviso de flash sábado.,Alta,Jueves Sem 3,Pendiente,Eleevate,copy,,,,
S3-006,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Jueves,Twitter,Tweet apertura 20% OFF,Tweet código HUBSMES y aviso flash 6h sábado — pongan alarma.,Alta,Jueves Sem 3,Pendiente,Eleevate,copy,,,,
S3-007,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Viernes,Discord,Bundles Viernes Solo Hoy,Post con 3 combos exclusivos 24h — Pack Auto Premium Pack Propiedad Pack VIP 30 días.,Alta,Viernes Sem 3,Pendiente,Eleevate,copy,,,,
S3-008,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Sábado,Discord,Flash 6h 40% OFF,Post Flash 6 horas con código FLASH40 — el descuento más grande del mes.,Crítica,Sábado Sem 3,Pendiente,Eleevate,copy,,,,
S3-009,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Sábado,Email,Email Flash masivo todos segmentos,Email a todos con asunto 40% OFF 6 HORAS ARRANCÓ — código FLASH40.,Crítica,Sábado Sem 3,Pendiente,Eleevate,copy,,,,
S3-010,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Sábado,Twitter,Tweet Flash 40% 6h,Tweet 40% OFF 6 horas código FLASH40 hasta hora límite sin extensión.,Alta,Sábado Sem 3,Pendiente,Eleevate,copy,,,,
S3-011,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Sábado,In-game,Notificación login Flash,Aviso al loguear FLASH ACTIVA 40% en HUBs hasta hora código FLASH40.,Alta,Sábado Sem 3,Pendiente,Eleevate,copy,,,,
S3-012,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Domingo,Discord,Última oportunidad cierra hoy,Post recordatorio descuento 20% activo hasta medianoche — hoy o esperar 4 semanas.,Alta,Domingo Sem 3,Pendiente,Eleevate,copy,,,,
S3-013,Plan MKT Externo,Fin de Semana HUBCoins,Sem 3,Domingo,Email,Email abrieron pero no compraron,Email retargeting Lo viste No lo compraste Quedan horas — 20% último día.,Alta,Domingo Sem 3,Pendiente,Eleevate,copy,,,,
S4-001,Plan MKT Externo,Evento Temático,Sem 4,-,Producción,Trailer producido 60s del evento,Trailer cinematográfico de 60s anunciando el evento temático del mes.,Crítica,Sem 4,Pendiente,Eleevate,video,,,,
S4-002,Plan MKT Externo,Evento Temático,Sem 4,-,Servidor,Items limitados del evento,Diseño y configuración de skins/items exclusivos disponibles solo durante el evento.,Crítica,Sem 4,Pendiente,Eleevate,imagen,,,,
S4-003,Plan MKT Externo,Evento Temático,Sem 4,-,Servidor,Mini-evento IC en servidor,Activación in-character coordinada con narrativa del tema (Halloween/Aniversario/Verano/SV).,Crítica,Sem 4,Pendiente,Eleevate,evento,,,,
S4-004,Plan MKT Externo,Evento Temático,Sem 4,-,Ads,Push pagado modesto,Inversión modesta en ads dirigidos a lookalikes del segmento activo y nuevos prospectos.,Alta,Sem 4,Pendiente,Eleevate,documento,,,,
S4-005,Plan MKT Externo,Evento Temático,Sem 4,-,Producción,Best-of post-evento,Compilado editado con los mejores momentos del evento para amplificación social.,Alta,Post Sem 4,Pendiente,Eleevate,video,,,,
S4-006,Plan MKT Externo,Evento Temático,Sem 4,-,Streamers,Convergencia 10 streamers simultáneo,Coordinación de los 10 streamers oficiales para stream simultáneo en el día del evento.,Crítica,Sem 4,Pendiente,Eleevate,evento,,,,
EQ-001,Plan MKT Externo,Equipo,-,-,Org,Lead Marketing,Estrategia presupuesto relaciones con creadores reportes mensuales decisiones de escalado.,Crítica,Día 1,Pendiente,Eleevate,documento,,,,
EQ-002,Plan MKT Externo,Equipo,-,-,Org,Community / Social,Twitter TikTok Discord coordinación con 10 streamers atención a comunidad publicación calendario.,Crítica,Día 1,Pendiente,Eleevate,documento,,,,
EQ-003,Plan MKT Externo,Equipo,-,-,Org,Editor / Clipper,Clips diarios TikTok trailers semanales miniaturas edición contenido in-game para social.,Alta,Día 1,Pendiente,Eleevate,documento,,,,
EQ-004,Plan MKT Externo,Equipo,-,-,Org,Tech / Data,Sistema de códigos dashboards segmentación emails landing pages atribución por canal.,Alta,Día 1,Pendiente,Eleevate,documento,,,,
